17:26:41.153 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:41.153 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:162
17:26:41.153 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:136
17:26:41.153 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:10
17:26:41.153 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:106
17:26:41.153 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:97
17:26:41.153 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:104
17:26:41.153 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:108
17:26:41.153 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:97
17:26:41.154 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:107
17:26:41.154 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:100
17:26:41.154 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:105
17:26:41.154 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:117
17:26:41.154 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:105
17:26:41.154 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:119
17:26:41.154 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:114
17:26:41.154 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:97
17:26:41.154 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:115
17:26:41.154 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:64
17:26:41.155 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:51
17:26:41.155 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:50
17:26:41.155 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:42
17:26:41.155 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:188
17:26:41.155 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:38
17:26:41.155 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:42
17:26:41.155 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:64
17:26:41.155 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:128
17:26:41.155 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:226
17:26:41.156 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:166
17:26:41.156 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:188
